name,address1,city,state,code,country,website,descript
Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon,97702,United States,http://www.deschutesbrewery.com/,"Deschutes Brewery, located in Central Oregon along the banks of the wild and scenic Deschutes River, has brewed handcrafted traditional ales since 1988.  Starting out as a small brewpub in the heart of downtown Bend, Deschutes' first beers were Black Butte Porter, Bachelor Bitter and Cascade Golden Ale. In 1993, Deschutes moved into its current brewing facility and has continued expanding and improving the facilities.  With a 50-barrel traditional gravity brew house and a new one-of-a-kind 131-barrel Huppmann brew system from Germany, Deschutes now creates and experiments with specialty batches of limited beers while brewing large quantities of everyone's favorites like Mirror Pond Pale Ale.  Consistently producing the highest quality beers is always Deschutes' number one priority and commitment. The Deschutes Brewery & Public House continues brewing unique beers at our original location while serving the finest Northwest pub cuisine.  So when you find yourself in Bend, come on in and have a pint of Bachelor Bitter, the locals' favorite, or any of our other original ales brewed on-site. Deschutes Brewery's distinct ales; Black Butte Porter, Mirror Pond Pale Ale, Obsidian Stout, Inversion IPA, Bachelor ESB, Cascade Ale, Buzzsaw Brown (winter), Cinder Cone Red (spring), Twilight Ale (summer), Jubelale (fall) and other seasonal beers are available at pubs and markets in a neighborhood near you. --http://www.deschutesbrewery.com/About+Us/default.aspx"
Desnoes & Geddes Ltd,214 Spanish Town,Kingston,,,Jamaica,,
Devil Mountain Brewing,,Cincinnati,Ohio,,United States,,
Diamond Bear Brewing Co.,323-C Cross Street,Little Rock,Arkansas,72201,United States,http://www.diamondbear.com/,
Diamond Knot Brewery & Alehouse,621 Front Street,Mukilteo,Washington,98275,United States,http://www.diamondknot.com/,
Diamondback Brewery,,Cleveland,Ohio,,United States,,
Dick's Brewing,5945 Prather Road,Centralia,Washington,98531,United States,,
Diebels Privatbrauerei,Brauerei-Diebels-Strae 1,Issum,Nordrhein-Westfalen,,Germany,,
Dieu du Ciel,29 Laurier Ouest,Montr̩al,Quebec,,Canada,http://www.dieuduciel.com/,
Dillon Dam Brewery,100 Little Dam Road,Dillon,Colorado,80435,United States,,
Dinkelacker-Schwaben Bru,Tbinger Strae 46,Stuttgart,Baden-Wrttemberg,,Germany,,
Dirt Cheap Cigarettes and Beer,895 Bolger Court,Fenton,Missouri,63026,United States,,
Dix Barbecue & Brewery,871 Beatty Street,Vancouver,British Columbia,0,Canada,,
Dixie Brewing,2401 Tulane Avenue,New Orleans,Louisiana,70119,United States,,
Dixon's Downtown Grill,,Denver,Colorado,80202,United States,,(No longer brewing)
Dock Street Beer,701 S. 50th Street,West Philly,Pennsylvania,19143,United States,http://www.dockstreetbeer.com,
Dockside Brewing,1253 Johnston Street,Vancouver,British Columbia,0,Canada,,
Doemens e.V.,Stefanusstrae 8,Grfelfing,Bayern,,Germany,,
Dogfish Head Craft Brewery,6 Cannery Village Center,Milton,Delaware,19968,United States,http://www.dogfish.com,
